t_s,theta1_rad_clean,theta2_rad_clean,theta1_rad_noisy,theta2_rad_noisy
0.000000,0.3000000000,0.0000000000,0.2966593575,-0.0037379063
0.010000,0.2998475599,0.0000074987,0.2973565123,0.0008693972
0.020000,0.2993903905,0.0000299795,0.3024832696,-0.0023162663
0.030000,0.2986289442,0.0000673964,0.3014724055,-0.0100059672
0.040000,0.2975639748,0.0001196727,0.3043165222,0.0037037172
0.050000,0.2961965367,0.0001867013,0.3043444794,-0.0021622501
0.060000,0.2945279844,0.0002683447,0.2960378155,0.0023151033
0.070000,0.2925599712,0.0003644353,0.2948073871,0.0015969581
0.080000,0.2902944482,0.0004747758,0.2885653926,0.0064608583
0.090000,0.2877336629,0.0005991390,0.2861575087,-0.0038841706
0.100000,0.2848801572,0.0007372688,0.2748003005,0.0059518381
0.110000,0.2817367660,0.0008888802,0.2760856098,-0.0066286491
0.120000,0.2783066145,0.0010536596,0.2727473842,0.0072736406
0.130000,0.2745931162,0.0012312657,0.2757823718,0.0006784616
0.140000,0.2705999700,0.0014213298,0.2689743217,0.0063205263
0.150000,0.2663311574,0.0016234564,0.2760546694,0.0029633042
0.160000,0.2617909394,0.0018372236,0.2713693195,-0.0002500529
0.170000,0.2569838529,0.0020621840,0.2615855946,0.0052410360
0.180000,0.2519147072,0.0022978656,0.2565966988,0.0023853342
0.190000,0.2465885798,0.0025437718,0.2523763400,0.0018214248
0.200000,0.2410108126,0.0027993830,0.2404797741,-0.0011800696
0.210000,0.2351870067,0.0030641567,0.2347432485,0.0060527403
0.220000,0.2291230181,0.0033375289,0.2242655921,-0.0049898606
0.230000,0.2228249523,0.0036189146,0.2209046499,0.0062542334
0.240000,0.2162991593,0.0039077089,0.2219985227,0.0044617500
0.250000,0.2095522272,0.0042032878,0.2102340863,0.0102471680
0.260000,0.2025909771,0.0045050093,0.2007562368,-0.0020405518
0.270000,0.1954224559,0.0048122143,0.1939170285,-0.0049626667
0.280000,0.1880539304,0.0051242279,0.1885921288,0.0049173536
0.290000,0.1804928801,0.0054403599,0.1862010543,0.0067542838
0.300000,0.1727469900,0.0057599066,0.1661993443,0.0014934908
0.310000,0.1648241431,0.0060821512,0.1634522386,0.0048126745
0.320000,0.1567324130,0.0064063654,0.1610565970,0.0102540702
0.330000,0.1484800553,0.0067318106,0.1412806150,0.0055534839
0.340000,0.1400754997,0.0070577387,0.1466994858,0.0060021440
0.350000,0.1315273411,0.0073833935,0.1273618160,0.0037270307
0.360000,0.1228443309,0.0077080120,0.1261957985,0.0019265869
0.370000,0.1140353681,0.0080308254,0.1144671008,-0.0056996522
0.380000,0.1051094893,0.0083510607,0.1068844249,0.0089464293
0.390000,0.0960758598,0.0086679414,0.0900133470,0.0072112279
0.400000,0.0869437635,0.0089806893,0.0875455607,0.0038562653
0.410000,0.0777225928,0.0092885255,0.0759281914,0.0021383410
0.420000,0.0684218386,0.0095906716,0.0744215192,0.0069201864
0.430000,0.0590510799,0.0098863512,0.0563456608,0.0167874126
0.440000,0.0496199731,0.0101747911,0.0495612462,0.0112601711
0.450000,0.0401382414,0.0104552225,0.0386819230,0.0088815800
0.460000,0.0306156643,0.0107268821,0.0325614997,0.0126810233
0.470000,0.0210620664,0.0109890141,0.0270702208,0.0157616422
0.480000,0.0114873064,0.0112408705,0.0115683285,0.0143468725
0.490000,0.0019012663,0.0114817130,0.0041284264,0.0173036473
0.500000,-0.0076861599,0.0117108142,-0.0128417032,0.0183231301
0.510000,-0.0172650770,0.0119274586,-0.0169294142,0.0082852758
0.520000,-0.0268256000,0.0121309441,-0.0328928545,0.0097041698
0.530000,-0.0363578652,0.0123205828,-0.0408419490,0.0101472315
0.540000,-0.0458520408,0.0124957029,-0.0396182971,0.0144013922
0.550000,-0.0552983384,0.0126556491,-0.0556947124,0.0145385875
0.560000,-0.0646870237,0.0127997843,-0.0678715058,0.0103479854
0.570000,-0.0740084273,0.0129274907,-0.0739394150,0.0187115088
0.580000,-0.0832529552,0.0130381705,-0.0902392672,0.0203647580
0.590000,-0.0924110998,0.0131312476,-0.0837804229,0.0163992677
0.600000,-0.1014734499,0.0132061681,-0.1039328348,0.0170883450
0.610000,-0.1104307010,0.0132624018,-0.1091596734,0.0150823985
0.620000,-0.1192736655,0.0132994429,-0.1206145053,0.0038051519
0.630000,-0.1279932825,0.0133168112,-0.1283260411,0.0128233067
0.640000,-0.1365806273,0.0133140529,-0.1416689041,0.0200427505
0.650000,-0.1450269209,0.0132907415,-0.1466575882,0.0010658780
0.660000,-0.1533235390,0.0132464789,-0.1499681893,0.0242167870
0.670000,-0.1614620211,0.0131808957,-0.1646302485,0.0101213591
0.680000,-0.1694340793,0.0130936530,-0.1701117619,0.0148000664
0.690000,-0.1772316062,0.0129844419,-0.1681632501,0.0151527360
0.700000,-0.1848466832,0.0128529853,-0.1844445170,0.0083983851
0.710000,-0.1922715885,0.0126990380,-0.1966838021,0.0120794181
0.720000,-0.1994988046,0.0125223876,-0.1937354494,0.0152927807
0.730000,-0.2065210250,0.0123228548,-0.2022513335,0.0209974774
0.740000,-0.2133311619,0.0121002942,-0.2089488966,0.0090045604
0.750000,-0.2199223525,0.0118545949,-0.2184639376,0.0166158585
0.760000,-0.2262879651,0.0115856805,-0.2250418403,0.0114665730
0.770000,-0.2324216054,0.0112935102,-0.2254945707,0.0073973578
0.780000,-0.2383171224,0.0109780783,-0.2395550698,0.0019097481
0.790000,-0.2439686134,0.0106394155,-0.2389167422,0.0080778840
0.800000,-0.2493704295,0.0102775882,-0.2478340619,0.0071757235
0.810000,-0.2545171803,0.0098926994,-0.2504864299,0.0137552660
0.820000,-0.2594037385,0.0094848886,-0.2590451458,0.0077222805
0.830000,-0.2640252442,0.0090543319,-0.2652601275,0.0127942919
0.840000,-0.2683771088,0.0086012421,-0.2722439094,0.0130056526
0.850000,-0.2724550189,0.0081258687,-0.2767632525,-0.0015783501
0.860000,-0.2762549395,0.0076284980,-0.2705856750,0.0143156823
0.870000,-0.2797731176,0.0071094526,-0.2837227268,0.0026559259
0.880000,-0.2830060844,0.0065690918,-0.2802498586,0.0109203995
0.890000,-0.2859506589,0.0060078110,-0.2873811487,0.0080097475
0.900000,-0.2886039495,0.0054260416,-0.2924399807,0.0088461575
0.910000,-0.2909633565,0.0048242508,-0.2854911336,0.0042838099
0.920000,-0.2930265742,0.0042029409,-0.2850070377,0.0021905404
0.930000,-0.2947915922,0.0035626493,-0.3043461945,0.0009460696
0.940000,-0.2962566972,0.0029039479,-0.2956113652,-0.0092737501
0.950000,-0.2974204740,0.0022274425,-0.2942894756,0.0087575749
0.960000,-0.2982818065,0.0015337723,-0.2978660606,-0.0011120889
0.970000,-0.2988398786,0.0008236094,-0.2872266788,0.0108756069
0.980000,-0.2990941747,0.0000976579,-0.2876708161,-0.0061986695
0.990000,-0.2990444801,-0.0006433463,-0.2970602547,-0.0006535134
1.000000,-0.2986908808,-0.0013986371,-0.3023909717,-0.0050829237
1.010000,-0.2980337637,-0.0021674179,-0.3023006479,-0.0040367529
1.020000,-0.2970738163,-0.0029488635,-0.3072714271,-0.0017172702
1.030000,-0.2958120258,-0.0037421202,-0.2899405501,-0.0061487846
1.040000,-0.2942496788,-0.0045463072,-0.2990043895,-0.0051098908
1.050000,-0.2923883599,-0.0053605173,-0.2889357827,-0.0081899451
1.060000,-0.2902299508,-0.0061838182,-0.2864051392,-0.0115525371
1.070000,-0.2877766286,-0.0070152532,-0.2901368701,-0.0043317246
1.080000,-0.2850308643,-0.0078538425,-0.2889774915,-0.0165398981
1.090000,-0.2819954208,-0.0086985844,-0.2823516982,-0.0093468386
1.100000,-0.2786733507,-0.0095484563,-0.2798661769,-0.0121421505
1.110000,-0.2750679942,-0.0104024160,-0.2696801294,-0.0112072927
1.120000,-0.2711829763,-0.0112594029,-0.2604667162,-0.0066537614
1.130000,-0.2670222035,-0.0121183395,-0.2652617629,-0.0089782857
1.140000,-0.2625898615,-0.0129781323,-0.2578873609,-0.0152078895
1.150000,-0.2578904111,-0.0138376734,-0.2636636280,-0.0103330189
1.160000,-0.2529285849,-0.0146958418,-0.2452141250,-0.0099926820
1.170000,-0.2477093832,-0.0155515049,-0.2348465847,-0.0167385881
1.180000,-0.2422380697,-0.0164035198,-0.2390016298,-0.0211479251
1.190000,-0.2365201674,-0.0172507346,-0.2405377471,-0.0168795435
1.200000,-0.2305614534,-0.0180919903,-0.2312590584,-0.0168357461
1.210000,-0.2243679541,-0.0189261218,-0.2293284903,-0.0264616274
1.220000,-0.2179459396,-0.0197519598,-0.2224090360,-0.0266759293
1.230000,-0.2113019185,-0.0205683319,-0.2147165051,-0.0273174439
1.240000,-0.2044426313,-0.0213740646,-0.1984728431,-0.0155553708
1.250000,-0.1973750451,-0.0221679846,-0.2000975325,-0.0227344391
1.260000,-0.1901063460,-0.0229489201,-0.1888082838,-0.0209433748
1.270000,-0.1826439332,-0.0237157030,-0.1859527346,-0.0331125970
1.280000,-0.1749954113,-0.0244671700,-0.1760619543,-0.0213735280
1.290000,-0.1671685832,-0.0252021641,-0.1747134644,-0.0187093930
1.300000,-0.1591714423,-0.0259195367,-0.1645564476,-0.0207303498
1.310000,-0.1510121648,-0.0266181485,-0.1491023536,-0.0232398453
1.320000,-0.1426991008,-0.0272968718,-0.1416721628,-0.0306428289
1.330000,-0.1342407666,-0.0279545916,-0.1313118604,-0.0272648662
1.340000,-0.1256458354,-0.0285902070,-0.1187163465,-0.0304363326
1.350000,-0.1169231285,-0.0292026336,-0.1048786609,-0.0282003339
1.360000,-0.1080816059,-0.0297908040,-0.1082015381,-0.0406290642
1.370000,-0.0991303570,-0.0303536703,-0.1055957587,-0.0357550144
1.380000,-0.0900785907,-0.0308902048,-0.0893443521,-0.0285943835
1.390000,-0.0809356257,-0.0313994023,-0.0717036139,-0.0282941239
1.400000,-0.0717108801,-0.0318802809,-0.0752848385,-0.0333363517
1.410000,-0.0624138614,-0.0323318840,-0.0660563434,-0.0295705476
1.420000,-0.0530541561,-0.0327532815,-0.0536895505,-0.0341809943
1.430000,-0.0436414189,-0.0331435712,-0.0418821228,-0.0294928292
1.440000,-0.0341853619,-0.0335018805,-0.0284395915,-0.0251996410
1.450000,-0.0246957446,-0.0338273675,-0.0202734373,-0.0356952370
1.460000,-0.0151823618,-0.0341192224,-0.0121520384,-0.0376138407
1.470000,-0.0056550337,-0.0343766688,-0.0172575340,-0.0271222177
1.480000,0.0038764056,-0.0345989653,0.0032772820,-0.0311006782
1.490000,0.0134021191,-0.0347854064,0.0084381267,-0.0317136573
1.500000,0.0229122777,-0.0349353236,0.0222767117,-0.0406522392
1.510000,0.0323970715,-0.0350480872,0.0295805084,-0.0355475045
1.520000,0.0418467204,-0.0351231067,0.0413397863,-0.0345258654
1.530000,0.0512514855,-0.0351598326,0.0555193529,-0.0248033720
