t_s,theta1_rad_clean,theta2_rad_clean,omega1_rad_s_clean,omega2_rad_s_clean,theta1_rad_noisy,theta2_rad_noisy
0.000000,0.3000000000,0.2000000000,0.0000000000,0.0000000000,0.2945718470,0.2003482037
0.010000,0.2997129941,0.2000463006,-0.0573934896,0.0092563199,0.3046997213,0.1987190725
0.020000,0.2988524384,0.2001849743,-0.1146945103,0.0184669817,0.3002673309,0.2048328966
0.030000,0.2974197216,0.2004153339,-0.1718101674,0.0275856944,0.2898882481,0.2067194402
0.040000,0.2954171652,0.2007362234,-0.2286467248,0.0365649151,0.2925241640,0.2074234925
0.050000,0.2928480339,0.2011460028,-0.2851092137,0.0453552611,0.3011052165,0.1961946294
0.060000,0.2897165495,0.2016425268,-0.3411010746,0.0539049667,0.2775831533,0.1989702908
0.070000,0.2860279091,0.2022231183,-0.3965238465,0.0621594012,0.2838833459,0.1937156378
0.080000,0.2817883047,0.2028845380,-0.4512769145,0.0700606639,0.2881179860,0.2016917129
0.090000,0.2770049460,0.2036229498,-0.5052573301,0.0775472736,0.2726712440,0.2057035689
0.100000,0.2716860846,0.2044338842,-0.5583597144,0.0845539667,0.2682916538,0.2037698783
0.110000,0.2658410376,0.2053121995,-0.6104762596,0.0910116232,0.2653674928,0.2149664538
0.120000,0.2594802124,0.2062520439,-0.6614968380,0.0968473321,0.2669371605,0.2042228270
0.130000,0.2526151279,0.2072468184,-0.7113092312,0.1019846127,0.2494206180,0.2018042756
0.140000,0.2452584347,0.2082891428,-0.7597994857,0.1063437991,0.2430385249,0.2111316638
0.150000,0.2374239293,0.2093708266,-0.8068524018,0.1098425978,0.2352521729,0.2101204957
0.160000,0.2291265639,0.2104828462,-0.8523521572,0.1123968173,0.2401562143,0.2132310592
0.170000,0.2203824491,0.2116153304,-0.8961830622,0.1139212685,0.2313163795,0.2131342700
0.180000,0.2112088480,0.2127575551,-0.9382304390,0.1143308227,0.2162291175,0.2139763840
0.190000,0.2016241613,0.2138979507,-0.9783816092,0.1135416103,0.2035550933,0.2032864562
0.200000,0.1916479023,0.2150241200,-1.0165269724,0.1114723338,0.1953347452,0.2113935499
